540,298.767ms,46.4403ms
540,300.239ms,44.942ms
540,299.97ms,51.6505ms
540,299.055ms,47.9471ms
540,296.468ms,45.839ms
540,303.232ms,46.3075ms
540,300.369ms,46.9447ms
540,302.977ms,43.3568ms
540,303.87ms,52.8148ms
541,297.462ms,47.5062ms
541,303.14ms,46.3414ms
541,303.538ms,46.3028ms
541,301.022ms,47.9212ms
541,301.302ms,47.008ms
541,298.244ms,45.7566ms
541,299.956ms,71.5518ms
541,301.144ms,52.5501ms
541,300.557ms,51.979ms
541,300.116ms,47.1458ms
542,300.156ms,49.1983ms
542,308.515ms,47.381ms
542,302.423ms,48.0864ms
542,303.312ms,49.7512ms
542,302.32ms,47.8205ms
542,305.334ms,53.774ms
542,302.565ms,47.4073ms
542,302.095ms,48.1609ms
542,301.706ms,46.907ms
542,303.494ms,48.3364ms
543,302.362ms,44.8052ms
543,307.318ms,58.0777ms
543,307.495ms,47.6405ms
543,304.652ms,46.386ms
543,307.263ms,45.2021ms
543,302.44ms,48.5037ms
543,305.794ms,47.6674ms
543,304.861ms,47.6916ms
543,304.776ms,56.6956ms
543,303.864ms,45.6148ms
544,305.194ms,47.457ms
544,312.815ms,49.0462ms
544,306.09ms,46.5837ms
544,306.488ms,51.2118ms
544,305.365ms,49.7775ms
63,0.5817ms,1.5138ms
63,0.8223ms,0.457ms
63,0.8308ms,0.4651ms
63,0.8438ms,0.6679ms
63,0.8264ms,0.4349ms
544,305.383ms,49.7219ms
544,313.876ms,56.9783ms
544,308.757ms,47.6992ms
544,310.979ms,48.2696ms
544,312.837ms,48.8614ms
545,304.503ms,53.5797ms
545,308.471ms,49.1062ms
545,309.164ms,44.9389ms
545,306.875ms,50.53ms
545,309.75ms,48.7908ms
545,304.354ms,48.4848ms
545,307.15ms,50.8969ms
545,308.271ms,52.229ms
545,307.364ms,46.1948ms
545,308.106ms,47.7517ms
546,306.887ms,46.6636ms
546,310.917ms,47.8832ms
546,309.826ms,47.005ms
546,309.467ms,57.899ms
546,311.065ms,47.5536ms
546,309.068ms,47.9364ms
546,311.557ms,51.9297ms
546,311.737ms,52.7247ms
546,311.338ms,48.4987ms
546,311.719ms,48.1783ms
547,307.99ms,49.7046ms
547,310.308ms,47.3696ms
547,311.798ms,48.6394ms
547,311.36ms,49.6253ms
547,310.767ms,50.3267ms
547,311.131ms,48.0629ms
547,314.004ms,46.7616ms
547,313.177ms,46.6579ms
547,313.283ms,53.5845ms
547,314.268ms,48.28ms
548,317.6ms,46.5719ms
548,316.719ms,48.4702ms
548,313.521ms,48.6382ms
548,318.496ms,55.2676ms
548,314.114ms,46.816ms
548,308.669ms,53.0267ms
548,312.775ms,72.3258ms
548,313.13ms,46.8484ms
548,312.317ms,47.6839ms
548,313.083ms,46.3239ms
549,311.108ms,49.6322ms
549,318.196ms,91.7107ms
549,315.58ms,52.7382ms
549,314.54ms,49.7101ms
549,315.944ms,47.8367ms
63,0.5622ms,14.3186ms
63,0.8447ms,0.5943ms
63,0.8384ms,0.8558ms
63,0.8365ms,0.4549ms
63,0.8501ms,0.4936ms
549,311.419ms,49.0116ms
549,315.031ms,47.6782ms
549,314.426ms,46.1051ms
549,314.683ms,49.9161ms
549,314.2ms,47.4485ms
550,313.336ms,51.1271ms
550,317.776ms,50.8187ms
550,317.666ms,48.6365ms
550,319.977ms,49.6999ms
550,318.276ms,50.9135ms
550,327.688ms,48.9172ms
550,317.539ms,48.6475ms
550,324.169ms,49.3544ms
550,319.215ms,47.4361ms
550,325.31ms,46.7562ms
551,314.808ms,48.954ms
551,319.168ms,56.555ms
551,319.141ms,47.9864ms
551,319.242ms,54.2743ms
551,318.821ms,49.4845ms
551,319.839ms,49.5557ms
551,319.006ms,47.3006ms
551,337.245ms,48.8486ms
551,319.512ms,55.0846ms
551,319.522ms,49.1346ms
552,315.846ms,55.2719ms
552,321.217ms,51.9005ms
552,321.184ms,49.9178ms
552,319.048ms,48.8351ms
552,321.151ms,47.6851ms
552,317.735ms,65.2487ms
552,321.121ms,49.3504ms
552,324.5ms,49.4095ms
552,320.298ms,48.624ms
552,322.323ms,49.7439ms
553,323.212ms,51.4124ms
553,319.768ms,48.6942ms
553,321.849ms,49.6308ms
553,321.064ms,49.0836ms
553,322.223ms,48.8722ms
553,318.648ms,49.4239ms
553,321.279ms,49.1432ms
553,321.689ms,52.2939ms
553,320.821ms,46.3102ms
553,322.452ms,50.0442ms
554,321.949ms,50.2277ms
554,323.052ms,49.045ms
554,336.804ms,54.3082ms
554,324.087ms,48.5511ms
554,324.708ms,49.6057ms
64,0.6067ms,1.5862ms
64,0.8668ms,0.4698ms
64,0.8677ms,0.4574ms
64,0.8687ms,0.4277ms
64,0.8636ms,16.3782ms
554,320.74ms,149.976ms
554,322.759ms,50.5338ms
554,327.736ms,58.0383ms
